Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_18_974.jpg;0;0;1;0;100.1282;84.19097;0.0002399182;287.0112;-1.192334E-06
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_011.jpg;0;0;0;0;100.1282;84.19097;0.0002393875;287.0112;-4.115632E-07
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_062.jpg;0;0;0;0;100.1282;84.19097;0.0002390285;287.0112;7.376851E-08
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_129.jpg;-4.886642;0;0;0;100.1282;84.19097;0.0002387335;286.0653;5.364772E-06
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_192.jpg;-8.775659;0;0;0;100.1282;84.19097;0.0002386564;284.5944;1.271861E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_260.jpg;-12.99457;0;0;0;100.1282;84.19097;0.0002380082;282.52;2.043473E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_331.jpg;-9.53815;0;0;0;100.1282;84.19097;0.0002355364;280.048;2.746369E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_393.jpg;-5.209093;0;0;0;100.1282;84.19097;0.0002352553;279.0068;2.932588E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_462.jpg;-1.50331;0;0;0;100.1282;84.19097;0.0002356387;278.6393;2.791425E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_513.jpg;0;0;0;0;100.1282;84.19097;0.0002351485;278.6393;2.425888E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_564.jpg;-1.343751;0;0;0;100.1282;84.19097;0.0002349958;278.4781;2.29933E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_628.jpg;-5.662794;0;0;0;100.1282;84.19097;0.0002350252;277.2873;2.313027E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_681.jpg;-8.129883;0;0;0;100.1282;84.19097;0.0002349898;276.3117;2.433602E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_749.jpg;-11.71919;0;0;0;100.1282;84.19097;0.0002353818;273.7455;2.73931E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_829.jpg;-15;0;0;0;100.1282;84.19097;0.0002338028;270.3018;3.093655E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_893.jpg;-15;0;0;0;100.1282;84.19097;0.0002332657;267.6017;3.437432E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_19_960.jpg;-15;0;0;0;100.1282;84.19097;0.0002325055;264.9017;3.729168E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_012.jpg;-15;0;0;0;100.1282;84.19097;0.0002330285;262.2018;3.694229E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_065.jpg;-15;0;0;0;100.1282;84.19097;0.0002336206;260.4017;3.64972E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_117.jpg;-15;0;0;0;100.1282;84.19097;0.0002356649;257.7018;3.63517E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_167.jpg;-15;0;0;0;100.1282;84.19097;0.0002377211;255.0018;3.644266E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_232.jpg;-15;0;0;0;100.1282;84.19097;0.0002385484;252.3018;3.633049E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_296.jpg;-15;0;0;0;100.1282;84.19097;0.0002410447;249.6018;3.499425E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_364.jpg;-15;0;0;0;100.1282;84.19097;0.0002455304;246.9018;3.140758E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_430.jpg;-15;0;0;0;100.1282;84.19097;0.0002506848;243.3018;2.750634E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_496.jpg;-15;0;0;0;100.1282;84.19097;0.0002546347;240.6018;2.486506E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_564.jpg;-15;0;0;0;100.1282;84.19097;0.0002571108;237.9018;2.228412E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_613.jpg;-15;0;0;0;100.1282;84.19097;0.0002603931;235.2018;2.024028E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_664.jpg;-15;0;0;0;100.1282;84.19097;0.0002625577;233.4018;1.910338E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_723.jpg;-15;0;0;0;100.1282;84.19102;0.0002657053;230.7018;1.78601E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_796.jpg;-11.60501;0;0;0;100.1282;84.19102;0.0002713565;227.7363;1.401068E-05
/home/drr/Dokumente/Udacity/RSE/project1/RoboND-Rover-Project/training_mode/IMG/robocam_2018_11_17_10_34_20_865.jpg;-7.491717;0;0;0;100.1282;84.19102;0.000276436;225.8613;4.697233E-06
